campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP018,529468697,14551239,1.524106894E7,791637,0.027482718208740486,19.252598021567966
CMP005,532953836,14723598,1.549185622E7,805038,0.027626404024982006,19.243633493077347
CMP021,533291973,14649313,1.535178105E7,798141,0.027469592159040428,19.2344223013227
CMP050,523825203,14359200,1.500413096E7,783000,0.02741219765250585,19.16236393358876
CMP002,539710745,14780721,1.5411682039999997E7,801241,0.027386375270331147,19.23476462138108
CMP016,532047933,14584242,1.523281675E7,792025,0.027411518954251816,19.232747388024368
CMP040,536209962,14742675,1.5355555899999995E7,799620,0.02749422063143243,19.203566569120326
CMP027,536417293,14787119,1.5399930719999997E7,811146,0.027566447228613115,18.985399323919488
CMP020,535562014,14674041,1.5305758930000002E7,800112,0.02739933120051341,19.129520529625854
CMP048,531197440,14512240,1.5167283760000002E7,789113,0.02731986057764134,19.22067404795004
